rank,flag,name,previous_rank,points,previous_points,confederation
41.0,https://api.fifa.com/api/v3/picture/flags-sq-2/HUN,Hungary,40.0,1496.29,1496.29,UEFA
42.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SWE,Sweden,43.0,1487.13,1487.13,UEFA
43.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CZE,Czechia,44.0,1487.0,1487.0,UEFA
44.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SVK,Slovakia,45.0,1485.65,1485.65,UEFA
45.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CMR,Cameroon,57.0,1482.39,1440.43,CAF
46.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GRE,Greece,46.0,1480.38,1480.38,UEFA
47.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TUN,Tunisia,41.0,1479.04,1494.86,CAF
48.0,https://api.fifa.com/api/v3/picture/flags-sq-2/COD,Congo DR,56.0,1468.22,1444.16,CAF
49.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ROU,Romania,47.0,1465.78,1465.78,UEFA
50.0,https://api.fifa.com/api/v3/picture/flags-sq-2/VEN,Venezuela,48.0,1465.22,1465.22,CONMEBOL
51.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CRC,Costa Rica,49.0,1464.24,1464.24,CONCACAF
52.0,https://api.fifa.com/api/v3/picture/flags-sq-2/UZB,Uzbekistan,50.0,1462.03,1462.03,AFC
53.0,https://api.fifa.com/api/v3/picture/flags-sq-2/PER,Peru,51.0,1459.57,1459.57,CONMEBOL
54.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MLI,Mali,53.0,1458.48,1455.03,CAF
55.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CHI,Chile,52.0,1457.84,1457.84,CONMEBOL
56.0,https://api.fifa.com/api/v3/picture/flags-sq-2/QAT,Qatar,54.0,1454.96,1454.96,AFC
57.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SVN,Slovenia,55.0,1447.31,1447.31,UEFA
58.0,https://api.fifa.com/api/v3/picture/flags-sq-2/IRQ,Iraq,58.0,1436.94,1436.94,AFC
59.0,https://api.fifa.com/api/v3/picture/flags-sq-2/IRL,Republic of Ireland,59.0,1436.04,1436.04,UEFA
60.0,https://api.fifa.com/api/v3/picture/flags-sq-2/RSA,South Africa,61.0,1432.76,1426.73,CAF
61.0,https://api.fifa.com/api/v3/picture/flags-sq-2/KSA,Saudi Arabia,60.0,1429.48,1429.48,AFC
62.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BFA,Burkina Faso,62.0,1412.79,1404.81,CAF
63.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ALB,Albania,63.0,1401.07,1401.07,UEFA
64.0,https://api.fifa.com/api/v3/picture/flags-sq-2/JOR,Jordan,64.0,1388.93,1388.93,AFC
65.0,https://api.fifa.com/api/v3/picture/flags-sq-2/HON,Honduras,65.0,1379.54,1379.54,CONCACAF
66.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MKD,North Macedonia,66.0,1378.57,1378.57,UEFA
67.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CPV,Cabo Verde,67.0,1370.49,1370.49,CAF
68.0,https://api.fifa.com/api/v3/picture/flags-sq-2/UAE,United Arab Emirates,68.0,1370.47,1370.47,AFC
69.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NIR,Northern Ireland,69.0,1366.02,1366.02,UEFA
70.0,https://api.fifa.com/api/v3/picture/flags-sq-2/JAM,Jamaica,70.0,1362.46,1362.46,CONCACAF
71.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BIH,Bosnia and Herzegovina,71.0,1362.37,1362.37,UEFA
72.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GHA,Ghana,72.0,1351.09,1351.09,CAF
73.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GEO,Georgia,73.0,1347.88,1347.88,UEFA
74.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ISL,Iceland,74.0,1344.72,1344.72,UEFA
75.0,https://api.fifa.com/api/v3/picture/flags-sq-2/FIN,Finland,75.0,1341.81,1341.81,UEFA
76.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BOL,Bolivia,76.0,1330.52,1329.56,CONMEBOL
77.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ISR,Israel,77.0,1328.14,1328.14,UEFA
78.0,https://api.fifa.com/api/v3/picture/flags-sq-2/OMA,Oman,79.0,1313.46,1313.46,AFC
79.0,https://api.fifa.com/api/v3/picture/flags-sq-2/KOS,Kosovo,80.0,1308.84,1308.84,UEFA
80.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GUI,Guinea,81.0,1307.05,1307.05,CAF
81.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CUW,Curaçao,82.0,1302.7,1302.7,CONCACAF
82.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MNE,Montenegro,83.0,1297.09,1297.09,UEFA
83.0,https://api.fifa.com/api/v3/picture/flags-sq-2/HAI,Haiti,84.0,1294.49,1294.49,CONCACAF
84.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SYR,Syria,86.0,1282.62,1282.62,AFC
85.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NZL,New Zealand,87.0,1279.25,1279.25,OFC
86.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GAB,Gabon,78.0,1276.28,1321.25,CAF
87.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BUL,Bulgaria,88.0,1272.19,1272.19,UEFA
88.0,https://api.fifa.com/api/v3/picture/flags-sq-2/UGA,Uganda,85.0,1264.09,1288.01,CAF
89.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ANG,Angola,89.0,1263.1,1271.54,CAF
90.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BHR,Bahrain,90.0,1258.53,1258.53,AFC
91.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ZAM,Zambia,91.0,1256.68,1258.4,CAF
92.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BEN,Benin,92.0,1250.05,1255.72,CAF
93.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CHN,China PR,93.0,1249.06,1249.06,AFC
94.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GUA,Guatemala,94.0,1245.77,1245.77,CONCACAF
95.0,https://api.fifa.com/api/v3/picture/flags-sq-2/PLE,Palestine,95.0,1244.73,1244.73,AFC
96.0,https://api.fifa.com/api/v3/picture/flags-sq-2/THA,Thailand,96.0,1243.27,1243.27,AFC
97.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TRI,Trinidad and Tobago,98.0,1227.32,1227.32,CONCACAF
98.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BLR,Belarus,99.0,1227.09,1227.09,UEFA
99.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SLV,El Salvador,100.0,1226.65,1226.65,CONCACAF
100.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TJK,Tajikistan,101.0,1224.93,1224.93,AFC
101.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MOZ,Mozambique,102.0,1224.31,1223.48,CAF
102.0,https://api.fifa.com/api/v3/picture/flags-sq-2/LUX,Luxembourg,103.0,1218.91,1218.91,UEFA
103.0,https://api.fifa.com/api/v3/picture/flags-sq-2/KGZ,Kyrgyz Republic,104.0,1201.22,1201.22,AFC
104.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MAD,Madagascar,105.0,1198.87,1198.87,CAF
105.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ARM,Armenia,106.0,1196.08,1196.08,UEFA
106.0,https://api.fifa.com/api/v3/picture/flags-sq-2/COM,Comoros,109.0,1193.49,1186.41,CAF
107.0,https://api.fifa.com/api/v3/picture/flags-sq-2/EQG,Equatorial Guinea,97.0,1190.01,1229.09,CAF
108.0,https://api.fifa.com/api/v3/picture/flags-sq-2/VIE,Vietnam,107.0,1189.51,1189.51,AFC
109.0,https://api.fifa.com/api/v3/picture/flags-sq-2/LBN,Lebanon,108.0,1187.96,1187.96,AFC
110.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TAN,Tanzania,112.0,1186.14,1181.22,CAF
111.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NIG,Niger,110.0,1185.09,1185.09,CAF
112.0,https://api.fifa.com/api/v3/picture/flags-sq-2/LBY,Libya,111.0,1183.06,1183.06,CAF
113.0,https://api.fifa.com/api/v3/picture/flags-sq-2/KEN,Kenya,113.0,1179.54,1179.54,CAF
114.0,https://api.fifa.com/api/v3/picture/flags-sq-2/KAZ,Kazakhstan,114.0,1173.0,1173.0,UEFA
115.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MTN,Mauritania,115.0,1171.35,1171.35,CAF
116.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GAM,The Gambia,116.0,1161.55,1161.55,CAF
117.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SDN,Sudan,117.0,1157.22,1154.44,CAF
118.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NAM,Namibia,118.0,1153.22,1153.22,CAF
119.0,https://api.fifa.com/api/v3/picture/flags-sq-2/PRK,Korea DPR,119.0,1151.05,1151.05,AFC
120.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SLE,Sierra Leone,120.0,1149.1,1149.1,CAF
121.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MAS,Malaysia,121.0,1145.89,1145.89,AFC
122.0,https://api.fifa.com/api/v3/picture/flags-sq-2/IDN,Indonesia,122.0,1144.73,1144.73,AFC
123.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SUR,Suriname,123.0,1140.54,1140.54,CONCACAF
124.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TOG,Togo,124.0,1140.35,1140.35,CAF
125.0,https://api.fifa.com/api/v3/picture/flags-sq-2/FRO,Faroe Islands,125.0,1135.42,1135.42,UEFA
126.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MWI,Malawi,126.0,1133.75,1133.75,CAF
